1	0	360	0	313	9	52	0	25	48	0	1
0	0	350	1	468	10	65	0	33	6	0	1
0	0	1100	0	829	9	125	0	56	48	0	1
0	0	3000	0	552	12	76	1	31	60	0	1
1	0	1000	0	809	12	111	0	24	7	0	1
0	0	300	0	331	6	74	1	41	0	0	1
0	2	580	1	349	10	51	0	30	6	0	0
0	0	300	0	416	10	64	0	48	108	0	1
0	0	1500	0	688	6	148	0	59	48	0	0
0	1	500	1	828	18	89	0	29	6	0	1
0	0	2000	1	309	6	66	0	29	6	0	0
1	0	411	1	390	12	55	1	40	0	0	0
1	0	2500	0	921	4	267	0	30	6	0	1
0	0	1850	0	1137	9	185	0	48	0	0	1
2	0	1202	0	552	4	119	0	61	48	119	0
0	0	500	1	614	10	81	0	59	6	0	0
0	2	500	1	347	4	101	0	44	6	0	0
0	0	800	1	359	6	76	0	51	6	0	0
1	0	2000	0	374	1	391	0	26	48	0	1
0	0	300	1	309	6	66	0	30	6	0	1
0	0	554	1	429	10	60	0	46	6	0	0
3	0	602	0	507	6	108	0	54	48	0	1
0	0	2500	0	2199	12	270	0	54	48	0	1
0	0	1342	0	1084	2	363	0	63	0	363	0
0	0	332	1	593	4	100	0	44	215	198	0
1	0	500	0	552	4	119	0	62	48	119	0
1	0	342	1	453	10	59	0	52	6	0	0
0	2	632	1	365	6	78	0	49	6	0	0
0	0	900	0	473	12	64	1	36	48	0	1
0	0	600	1	587	10	89	0	44	60	0	0
0	0	800	1	495	15	59	0	50	6	0	1
1	0	480	1	460	3	135	0	59	6	100	0
0	0	1300	1	349	10	51	0	45	6	0	0
0	0	387	0	351	8	62	1	52	144	0	1
0	0	1500	0	500	11	58	0	53	0	58	1
0	2	868	1	567	10	78	0	39	6	0	0
1	0	6000	0	552	4	119	0	63	48	119	0
0	0	300	1	399	10	55	0	29	6	0	0
1	0	400	0	399	6	89	0	19	24	0	1
0	0	2500	0	595	6	123	0	58	48	0	0
0	2	1800	1	480	12	65	0	36	6	0	1
1	0	966	1	462	10	70	0	29	6	0	0
1	0	650	1	480	10	67	0	21	6	0	1
2	0	600	1	544	3	149	1	49	12	149	0
3	0	533	0	329	6	68	0	41	48	0	1
1	0	800	1	345	10	53	0	45	6	0	0
1	0	500	0	451	7	85	0	63	48	0	0
1	0	600	0	536	12	73	0	24	36	0	1
1	0	312	0	499	12	69	0	21	18	0	1
0	0	400	1	347	10	53	0	51	6	0	0
1	0	500	0	420	10	64	1	27	0	0	1
0	0	1200	0	620	6	129	0	28	48	0	1
0	0	450	1	440	10	67	0	35	6	0	0
0	0	900	1	565	12	76	0	36	6	0	1
0	0	315	0	398	9	60	0	23	6	35	1
1	0	400	0	440	12	60	1	24	120	0	1
0	0	600	1	492	6	84	0	38	6	100	0
